sample_id,reads,bases,n50,longest,shortest,mean_length,median_length,mean_quality,median_quality
barcode01,25162,28710165,1240,4325,159,1141,1233,13.8,13.9
barcode02,34882,42754322,1249,4997,164,1225,1242,13.8,13.9
barcode03,17819,20355521,1243,4330,165,1142,1237,13.8,13.9
barcode04,10321,10897554,1229,3520,163,1055,1214,13.7,13.8
barcode05,19108,22087108,1243,9898,165,1155,1237,13.8,13.9
barcode06,563,248017,482,1301,155,440,364,13.1,13.0
barcode07,22821,25978224,1243,4391,164,1138,1236,13.8,14.0
barcode08,2171,1588705,1200,2408,150,731,598,13.5,13.5
barcode09,19714,22190631,1241,4694,159,1125,1234,13.7,13.8
barcode10,14550,16700205,1240,4691,161,1147,1235,13.8,13.9
barcode11,20040,24032721,1240,4601,149,1199,1237,13.8,13.9
barcode12,12599,14696225,1236,4627,188,1166,1232,13.8,13.9
barcode13,23509,27403857,1245,6165,159,1165,1237,13.8,13.9
barcode14,24941,29798523,1245,4025,188,1194,1240,13.8,13.9
barcode15,7363,8254488,1234,3548,164,1121,1226,13.8,14.0
barcode16,10885,12299362,1242,3579,161,1129,1236,13.8,13.9
barcode17,32439,39224030,1249,5468,183,1209,1240,13.7,13.8
barcode18,25697,30220356,1247,6364,187,1176,1240,13.8,13.9
barcode19,38943,47143223,1248,5459,146,1210,1241,13.8,13.9
barcode20,255,100375,404,1658,159,393,332,13.1,13.0
barcode21,35041,41960943,1247,5035,157,1197,1240,13.8,13.9
barcode22,18909,22987116,1244,4752,158,1215,1241,13.8,14.0
barcode23,22310,26478738,1246,5192,190,1186,1240,13.8,13.9
barcode24,19493,22584775,1244,3888,149,1158,1238,13.8,13.9
barcode25,23515,27864071,1245,5970,153,1184,1238,13.8,13.9
barcode26,19648,22883304,1245,4675,155,1164,1238,13.8,13.9
barcode27,18284,21771090,1245,5842,191,1190,1239,13.9,14.0
barcode28,22213,26484325,1243,5893,191,1192,1238,13.8,13.9
barcode29,23244,27881422,1247,6302,190,1199,1242,13.8,14.0
barcode30,19067,21935967,1244,7084,189,1150,1237,13.8,13.9
barcode31,28176,33834024,1248,5515,172,1200,1241,13.8,13.9
barcode32,28146,34171884,1248,4801,146,1214,1242,13.8,13.9
barcode33,510,229629,486,1410,154,450,409,12.8,12.8
barcode34,5148,6226911,1238,5710,161,1209,1233,13.8,13.9
barcode35,20918,25772659,1251,5828,186,1232,1242,13.8,13.9
barcode36,29485,35199470,1246,7820,168,1193,1239,13.8,13.9
barcode37,11876,11907004,1236,4796,165,1002,1217,13.6,13.7
barcode38,21357,25132358,1242,4224,145,1176,1238,13.7,13.8
barcode39,2173,2189637,1231,2687,153,1007,1211,13.6,13.7
barcode40,65,24714,443,883,157,380,323,12.3,12.2
barcode41,3914,3230431,1204,3956,144,825,801,13.5,13.6
barcode42,21223,25692191,1249,5770,190,1210,1242,13.9,14.0
barcode43,39402,46981156,1247,5632,189,1192,1240,13.8,13.8
barcode44,12283,14318364,1235,4498,198,1165,1229,13.8,13.9
barcode45,39985,48208800,1247,4712,152,1205,1242,13.8,13.9
barcode46,22214,25939370,1245,4702,166,1167,1240,13.8,13.9
barcode47,123,50804,512,2587,153,413,293,12.9,12.8
barcode48,10162,10478360,1233,3682,153,1031,1216,13.7,13.8
barcode49,25465,30850744,1248,6711,177,1211,1243,13.8,13.9
barcode50,30772,36440132,1245,6873,163,1184,1240,13.8,13.9
barcode51,18742,22142587,1246,34449,159,1181,1240,13.8,13.9
barcode52,2856,1479751,588,2317,163,518,470,13.3,13.2
barcode53,1903,2120089,1236,2469,144,1114,1225,13.7,13.8
barcode54,1157,619426,652,2444,159,535,473,13.1,13.1
barcode55,25458,29791049,1244,4396,196,1170,1240,13.8,13.9
barcode56,19793,24143429,1245,5752,143,1219,1242,13.8,13.9
barcode57,529,489538,1243,2427,158,925,1226,13.5,13.5
barcode58,13518,16506097,1251,5473,151,1221,1243,13.8,13.9
barcode59,354,164554,537,1697,152,464,419,12.9,12.9
barcode60,76,22537,239,1204,152,296,231,12.4,12.4
barcode61,4673,5513749,1242,3568,158,1179,1237,13.9,14.0
barcode62,3424,1899853,633,3716,153,554,510,13.1,13.1
barcode63,20276,23626990,1244,4608,167,1165,1239,13.8,13.9
barcode64,18051,21449264,1248,6701,194,1188,1242,13.8,13.9
barcode65,15073,17605065,1242,4709,156,1167,1237,13.8,13.9
barcode66,23432,28103752,1247,6747,194,1199,1242,13.8,13.9
barcode67,20551,24479601,1246,5695,152,1191,1241,13.8,14.0
barcode68,26348,31250559,1247,4663,158,1186,1242,13.8,13.9
barcode69,83,94140,1242,2464,145,1134,1236,13.5,13.7
barcode70,25033,30049527,1255,4495,163,1200,1248,13.7,13.8
barcode71,3614,4207321,1255,3515,146,1164,1248,13.7,13.9
barcode72,255,277206,1248,3487,149,1087,1235,13.1,13.0
